ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
ATD50845__MF085373.1	MF085373.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF085373.1	Bocaparvovirus	unclassified Bocaparvovirus	MF085373.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATD50845	MF085373.1	ATD50845,ASH89412,AQA26423,AQA26420,AIC33030	ATD50845__MF085373.1_Species 14
AEM37597__JN420362.1	JN420362.1_California sea lion bocavirus 1	1073959	California sea lion bocavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 1	JN420362.1	Bocaparvovirus	Pinniped bocaparvovirus 1	JN420362.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 1	AEM37597	JN420362.1	AEM37597,AEM37610,AEM37601,AEM37593,AEM37589	AEM37597__JN420362.1_Species 14
	AHK27066	AHK27037	AHK27066_
ALA40028__KT329428.1	KT329428.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KT329428.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KT329428.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ALA40028	KT329428.1	ALA40028,CAA54352	ALA40028__KT329428.1_Species 7
ATD50847__MF085373.1	MF085373.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF085373.1	Bocaparvovirus	unclassified Bocaparvovirus	MF085373.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATD50847	MF085373.1	ATD50847,ASH89413,AQA26425,AQA26422,AIC33032,ANN44250,ATD50848,AIC33033,ANN44249	ATD50847__MF085373.1_Species 34
ATE46005__KY586145.1	KY586145.1_Porcine parvovirus 3	1126384	Porcine parvovirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KY586145.1	Protoparvovirus	unclassified Protoparvovirus	KY586145.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	ATE46005	KY586145.1	ATE46005,ASV72295,ASV72294,ASV72293,ASV72292,ASV72291,ASV72290,ADN44557,ADN44554,ADC94188,ADC94185,ADC94182,ADC94179,ADC94176,ADC94173,ADC94170,ADC94167,ADC94164,ADC94161,ALW83499,ALW83496,AHF20150,AHF20147,AHF20144,AHF20141,AGG39690,AGG39688,AGG39686,AGG39684,AGG39682,AGG39679,AGG39677,AGG39675,AGG39673,AGG39671,AGG39669,YP_008439207,AGT29650,AGJ73898,AGJ73896,AGJ73894,AFN42855,AFN42851,AFN42848,AFM30849,AFM30846,AFM30843,AFM30840,AFM30837,AEZ67149,AEZ67146,AEZ67143,AEZ67140,AEL21556,AEL21553,AEL21550,AEL21547,AEL21544,AEL21541,AEL21534,ABY67706,ABY67703,ABY67700,ABY67697,ABY67694,ABY67691,ABY67688,AFM73869,AFM73866,AFM73863,AFM73860,AFM73857,AFM73854,AFM73851,AFM73848,AEL21537,AEL21531,AEL21530,AEL21529,AEL21528,AEL21527,AEL21526,AEL21525,AEL21524,AEL21523,AEL21522,AEL21521	ATE46005__KY586145.1_Species 41
AGS15085__KF206166.1	KF206166.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206166.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206166.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15085	KF206166.1	AGS15085	AGS15085__KF206166.1_Species 12
AIZ50117__KP120516.1	KP120516.1_Slow loris parvovirus 1	1581151	Slow loris parvovirus 1	Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae	KP120516.1	undef	unclassified Parvoviridae	KP120516.1_Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae	AIZ50117	KP120516.1	AIZ50117	AIZ50117__KP120516.1_Species 47
AQS80297__KX981922.1	KX981922.1_Skunk amdoparvovirus	1961072	Skunk amdoparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	KX981922.1	Amdoparvovirus	unclassified Amdoparvovirus	KX981922.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	AQS80297	KX981922.1	AQS80297,AQS80364,AQS80363,AQS80356,AQS80355,AQS80354,AQS80353,AQS80352,AQS80351,AQS80350,AQS80341,AQS80339,AQS80336,AQS80335,AQS80333,AQS80332,AQS80331,AQS80329,AQS80328,AQS80327,AQS80326,AQS80325,AQS80324,AQS80323,AQS80322	AQS80297__KX981922.1_Species 7
AAB82733__U86868.1	U86868.1_Chipmunk parvovirus	56820	Chipmunk parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Rodent erythroparvovirus 1	U86868.1	Erythroparvovirus	Rodent erythroparvovirus 1	U86868.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Rodent erythroparvovirus 1	AAB82733	U86868.1	AAB82733,ACT09660	AAB82733__U86868.1_Species 48
ATE46006__KY586145.1	KY586145.1_Porcine parvovirus 3	1126384	Porcine parvovirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KY586145.1	Protoparvovirus	unclassified Protoparvovirus	KY586145.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	ATE46006	KY586145.1	ATE46006,ALW83500,ALW83497,AHA86943,AHA86941,AGM20637,AGM20635,AGM20633,AGM20631,AGM20629,AGM20627,AGM20625,AGM20623,AGM20621,AGM20619,AGM20617,AGM20615,AGM20613,AGM20611,AGM20609,AGM20607,AGM20605,AGM20603,YP_008439208,AGT29649,AFN42854,AFN42852,AFN42849,AFM73867,AFM73864,AFM73861,AFM73858,AFM73855,AFM73852,AFM73849,AFM73846,AFM30853,AFM30850,AFM30847,AFM30844,AFM30841,AFM30838,AEZ67150,AEZ67147,AEZ67144,AEZ67141,AEL21557,AEL21554,AEL21551,AEL21548,AEL21545,AEL21542,AEL21535,AEL21532,ABY67707,ABY67704,ABY67701,ABY67698,ABY67695,ABY67692,ABY67689,ADC94189,ADC94186,ADC94183,ADC94180,ADC94177,ADC94174,ADC94171,ADC94168,ADC94165,ADC94162,AHF20148,ADN44558,AHF20151,ADN44555,ADN44564,ADN44567,AFZ55603,AFZ55601,AFZ55599,AFZ55597,AFZ55595,AFZ55593,AHF20142,AHF20145,AEL21538,AGJ73899,AGJ73897,AGJ73895,AGG39680,AHF20130,AHF20124,ADN44561,ALW83501,ALW83498,AJT39539,AJT39538,AJT39537,AJT39536,AJT39535,AHA86944,AHA86942,AGM20638,AGM20636,AGM20634,AGM20632,AGM20630,AGM20628,AGM20626,AGM20624,AGM20622,AGM20620,AGM20618,AGM20616,AGM20614,AGM20612,AGM20610,AGM20608,AGM20606,AGM20604,YP_008439209,AGT29651,AFN42856,AFN42853,AFN42850,AFM73868,AFM73865,AFM73862,AFM73859,AFM73856,AFM73853,AFM73850,AFM73847,AFM30854,AFM30851,AFM30848,AFM30845,AFM30842,AFM30839,AEZ67151,AEZ67148,AEZ67145,AEZ67142,AEL21558,AEL21555,AEL21552,AEL21549,AEL21546,AEL21543,AEL21536,AEL21533,ABY67708,ABY67705,ABY67702,ABY67699,ABY67696,ABY67693,ABY67690,ADN44559,AHF20152,AHF20131,ADN44556,AHF20125,ADN44565,ADN44568,AFZ55604,AFZ55602,AFZ55600,AFZ55598,AFZ55596,AFZ55594,AHF20143,AHF20146,AEL21539	ATE46006__KY586145.1_Species 26
ATE46007__KY586146.1	KY586146.1_Porcine parvovirus 4	707546	Porcine parvovirus 4	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 2	KY586146.1	Copiparvovirus	Ungulate copiparvovirus 2	KY586146.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 2	ATE46007	KY586146.1	ATE46007,YP_004013956,AFM73886,AFM73883,AFM73880,AFM73877,ADG65429,ADG65426,ADF59561,ADF59558,ADF59557,ADF59554,ADF59549,ADB20207,ADB20210	ATE46007__KY586146.1_Species 36
AGS15087__KF206166.1	KF206166.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206166.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206166.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15087	KF206166.1	AGS15087,AHK27108,AGS15088,AHK27041,AHK27045	AGS15087__KF206166.1_Species 31
ATU81352__KY411078.1	KY411078.1_Goose parvovirus	38251	Goose parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1	KY411078.1	Dependoparvovirus	Anseriform dependoparvovirus 1	KY411078.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1	ATU81352	KY411078.1	ATU81352,AOG75033,AOG75031,ASR91721,ARG42043,ARF02874,AQT18926,AQV09495,AOM63310,AOM63305,AOM63304,ANX99769,AEL87778,ANN12566,AAL37722,AMK92591,ALK02475,ALI16103,ALH24920,ALH24919,ALH24918,ALH24917,ALH24916,ALH24915,ALF38087,ALF38085,AGT62583,AGT62581,AIR74894,AIX09857,AER25357,AGO17638,AGO17640,AGG56528,AGG53768,NP_043515,AEV89790,AAR91603,AER25359,ABP82770,AAS16481,AAR24360,AAR24359,AAR24358,AAA83230,ACE95855,ACE95853,ACE95851,ACE95849,ABU50786,ABU50783,ABU50780,AAR24363,AAR24362,AAR24361,AAR24357,AAA75286,AQT18927,AEL87779,AAZ83718,ABR87940,NP_043516,AEV89791,AAR91604,AAA83231,ABU50787,ABU50784,ABU50781,ASU55440,ASU55439,ASU55438,ASU55437,ARG42045,AQT18928,APG79651,APG79650,APG79649,APG79648,APG79647,APG79646,APG79645,APG79644,APG79643,AEL87780,ABD76400,AJO15988,AJO15987,AJO15986,AJO15985,AJO15984,AJO15983,AJO15982,AJO15981,AJO15980,AJO15979,AJO15978,AJO15977,AJO15976,AJO15975,AJO15974,AJO15973,AJO15972,AJO15971,AJO15970,AJO15969,AJO15968,AJO15967,AJO15966,AIR74896,AGG53767,YP_068413,NP_043517,AEV89792,AAR91605,AEX99666,ABP93845,AAA83227,ACV03834,ABG49148,ABC02874,AAA83232,ACI62505,ACI62504,ACI62503,ACH95802,ABW98499,ABU50788,ABU50785,ABU50782,ABO26866,ABK15512,ABK15511,ABK15510,ABK15509,ABK15508,ABK15507,ABK15506,ABK15505,ACT34972	ATU81352__KY411078.1_Species 20
AAB82734__U86868.1	U86868.1_Chipmunk parvovirus	56820	Chipmunk parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Rodent erythroparvovirus 1	U86868.1	Erythroparvovirus	Rodent erythroparvovirus 1	U86868.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Rodent erythroparvovirus 1	AAB82734	U86868.1	AAB82734,ACT09662,ACT09663	AAB82734__U86868.1_Species 22
ATU81353__KY411079.1	KY411079.1_Goose parvovirus	38251	Goose parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1	KY411079.1	Dependoparvovirus	Anseriform dependoparvovirus 1	KY411079.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1	ATU81353	KY411079.1	ATU81353,AOG75032,AOG75030,ASR91720,ARG42042,ARF02873,AQT18925,AQV09494,APG31773,APG31668,AOM63303,APB54219,ANX99768,ANX99766,ANX99764,AEL87777,ANP94886,ANN12565,AMO03312,ANG60949,AMY56528,AAL37721,AMK92590,ALK02474,ALI16102,ALF38086,ALF38084,AGT62582,AGT62580,AIR74893,AIX09856,AER25356,AGO17637,AGO17639,AGG56527,AGG53766,YP_068410,NP_043514,AFI49447,AEV89789,AER25362,AER25360,AER25358,ABP93842,AAR91602,AAA83224,AAA83229,ACE95854,ACE95852,ACE95850,ACE95848,ABX38993,ABS71119,AAA75285,AQT18929,ABP93843	ATU81353__KY411079.1_Species 46
YP_005086948__JN831651	JN831651_Porcine bocavirus 5/JS677	1131622	Porcine bocavirus 5/JS677	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Porcine bocavirus 5	JN831651	Bocaparvovirus	Porcine bocavirus 5	JN831651_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Porcine bocavirus 5	YP_005086948	JN831651	YP_005086948,AHK26996,AEX30511,AHK27191,AHK27190,AHK27189,AHK27188,AHK27183,AHK27174,AHK27167,AHK27166,AHK27161,AHK27149,AHK27130	YP_005086948__JN831651_Species 12
AAU84890__AY724675.1	AY724675.1_Adeno-associated virus-Go.1	296148	Adeno-associated virus-Go.1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B;Bovine adeno-associated virus;Caprine adeno-associated virus	AY724675.1	Dependoparvovirus	Caprine adeno-associated virus	AY724675.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B;Bovine adeno-associated virus;Caprine adeno-associated virus	AAU84890	AY724675.1	AAU84890,ABC69726,3NTTA,YP_068409,AAD13756,CAA77024	AAU84890__AY724675.1_Species 20
AHK27105__KF025484.1	KF025484.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025484.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025484.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27105	KF025484.1	AHK27105,AHK27001,AGS15040,YP_004869647,AEO37427,AEO37423,AEY68759,AGS15041,YP_004869648,AEO37428,AEO37424,AEY68760,AHK27038,AHK27044,AHK27070	AHK27105__KF025484.1_Species 31
AHK27106__KF025485.1	KF025485.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025485.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025485.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27106	KF025485.1	AHK27106	AHK27106__KF025485.1_Species 31
AHK27107__KF025486.1	KF025486.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025486.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025486.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27107	KF025486.1	AHK27107	AHK27107__KF025486.1_Species 31
AHK27120__KF025499.1	KF025499.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025499.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025499.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK27120	KF025499.1	AHK27120	AHK27120__KF025499.1_Species 31
ABB76814__DQ250134.1	DQ250134.1_Duck parvovirus	341673	Duck parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1	DQ250134.1	Dependoparvovirus	Anseriform dependoparvovirus 1	DQ250134.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1	ABB76814	DQ250134.1	ABB76814,CAA52983	ABB76814__DQ250134.1_Species 46
AME15895__KT878959.1	KT878959.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KT878959.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KT878959.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AME15895	KT878959.1	AME15895,AME15915,AIZ65649	AME15895__KT878959.1_Species 7
ATY47680__KY432912.1	KY432912.1_Parvovirinae sp.	2055262	Parvovirinae sp.	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KY432912.1	unclassified Parvovirinae	unclassified Parvovirinae	KY432912.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	ATY47680	KY432912.1	ATY47680	ATY47680__KY432912.1_Species 34
NP_041242__J02275	J02275_Minute virus of mice	10794	Minute virus of mice	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	J02275	Protoparvovirus	Rodent protoparvovirus 1	J02275_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1	NP_041242	J02275	NP_041242,AAA67108,AAA69566,CAA24309,P03134,P03133,P07300,NP_041243,AAM93279,AAM93277,AAM93275,AJM71461,AGI62170,AGG38823,AFR44453,AAA61405,AAV33436,AAB38326,AAM93272,AAA67109,AAA69567,BAE53504,ACJ63477,ACJ63471,ACJ63465,ABK20160,ABI74614,ABB01365,ABB01359,ABB01353,CAA25689,CAC39997,CAC39995,CAC39993,CAC39991,CAC39989,P36311,AAC40695,AIF74209,AAK27438	NP_041242__J02275_Species 8
ATY47681__KY432913.1	KY432913.1_Parvovirinae sp.	2055262	Parvovirinae sp.	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KY432913.1	unclassified Parvovirinae	unclassified Parvovirinae	KY432913.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	ATY47681	KY432913.1	ATY47681	ATY47681__KY432913.1_Species 20
ATY47682__KY432914.1	KY432914.1_Parvovirinae sp.	2055262	Parvovirinae sp.	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KY432914.1	unclassified Parvovirinae	unclassified Parvovirinae	KY432914.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	ATY47682	KY432914.1	ATY47682	ATY47682__KY432914.1_Species 34
AME15917__KT878967.1	KT878967.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KT878967.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KT878967.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AME15917	KT878967.1	AME15917	AME15917__KT878967.1_Species 7
BAR72999__LC011425.1	LC011425.1_Mfuwe bufavirus	1580060	Mfuwe bufavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	LC011425.1	Protoparvovirus	unclassified Protoparvovirus	LC011425.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	BAR72999	LC011425.1	BAR72999	BAR72999__LC011425.1_Species 8
YP_009259490__KU172421	KU172421_Ungulate bocaparvovirus 6	1864484	Ungulate bocaparvovirus 6	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KU172421	Bocaparvovirus	unclassified Bocaparvovirus	KU172421_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009259490	KU172421	YP_009259490,ANN02911,ANN02909	YP_009259490__KU172421_Species 18
ASC49416__KY640454.1	KY640454.1_Dromedary camel bocaparvovirus 2	2014604	Dromedary camel bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640454.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640454.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49416	KY640454.1	ASC49416,ASC49413,ASC49410,ASC49407,ASC49386,ASC49380,ASC49374,ASC49371	ASC49416__KY640454.1_Species 29
YP_009259491__KU172421	KU172421_Ungulate bocaparvovirus 6	1864484	Ungulate bocaparvovirus 6	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KU172421	Bocaparvovirus	unclassified Bocaparvovirus	KU172421_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009259491	KU172421	YP_009259491,ANN02912,ANN02910	YP_009259491__KU172421_Species 32
AHK26980__KF025383.1	KF025383.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025383.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025383.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK26980	KF025383.1	AHK26980,AHK26977,AHK26986,AHK27061	AHK26980__KF025383.1_Species 31
AIT18928__KJ495710.1	KJ495710.1_Tusavirus 1	1560340	Tusavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KJ495710.1	Protoparvovirus	unclassified Protoparvovirus	KJ495710.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AIT18928	KJ495710.1	AIT18928	AIT18928__KJ495710.1_Species 8
ATY47684__KY432916.1	KY432916.1_Parvovirinae sp.	2055262	Parvovirinae sp.	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KY432916.1	unclassified Parvovirinae	unclassified Parvovirinae	KY432916.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	ATY47684	KY432916.1	ATY47684	ATY47684__KY432916.1_Species 19
ASC49417__KY640455.1	KY640455.1_Dromedary camel bocaparvovirus 2	2014604	Dromedary camel bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640455.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640455.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49417	KY640455.1	ASC49417,ASC49414,ASC49411,ASC49408,ASC49405,ASC49402,ASC49396,ASC49393,ASC49390,ASC49384,ASC49381,ASC49378,ASC49375,ASC49372,ASC49369	ASC49417__KY640455.1_Species 17
ASC49398__KY640448.1	KY640448.1_Dromedary camel bocaparvovirus 2	2014604	Dromedary camel bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640448.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640448.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49398	KY640448.1	ASC49398,ASC49383,ASC49377	ASC49398__KY640448.1_Species 29
ATY47685__KY432917.1	KY432917.1_Parvovirinae sp.	2055262	Parvovirinae sp.	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KY432917.1	unclassified Parvovirinae	unclassified Parvovirinae	KY432917.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	ATY47685	KY432917.1	ATY47685	ATY47685__KY432917.1_Species 20
ABV71710__EU175872.1	EU175872.1_Human parvovirus 4	289365	Human parvovirus 4	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1	EU175872.1	Tetraparvovirus	Primate tetraparvovirus 1	EU175872.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1	ABV71710	EU175872.1	ABV71710	ABV71710__EU175872.1_Species 39
